Depth (Ft),Shear (lbs.)
35.6,28286.426504045095
35.7,28094.995652546575
35.800000000000004,27903.295978635066
35.9,27711.330394722696
36.0,27519.10167776057
36.1,27326.613112678653
36.2,27133.867611889083
36.300000000000004,26940.86832486079
36.4,26747.61840106271
36.5,26554.120719041723
36.6,26360.37852986253
36.7,26166.394915263558
36.800000000000004,25972.172686061167
36.9,25777.715296511607
37.0,25583.025625161754
37.1,25388.107092402606
37.2,25192.962847703093
37.300000000000004,24997.5962437237
37.4,24802.010023550265
37.5,24606.207810765336
37.6,24410.192653242073
37.7,24213.967666584154
37.800000000000004,24017.536711430916
37.9,23820.90263246398
38.0,23624.068883939603
38.1,23427.038784653
38.2,23229.81558566888
38.300000000000004,23032.40267351298
38.400000000000006,22834.80350244155
38.5,22637.021323519304
38.6,22439.059726463518
38.7,22240.92216553044
38.800000000000004,22042.611688593242
38.900000000000006,21844.132122426
39.0,21645.486616497652
39.1,21446.679200773822
39.2,21247.712686070874
39.300000000000004,21048.59103462392
39.400000000000006,20849.31776841973
39.5,20649.896104657746
39.6,20450.330174899376
39.7,20250.623162478805
39.800000000000004,20050.778690978572
39.900000000000006,19850.80041784648
40.0,19650.691695743
40.1,19450.45662236428
40.2,19250.098651966568
40.300000000000004,19049.621746784975
40.400000000000006,18849.029090153697
40.5,18648.32481363413
40.6,18447.512506943563
40.7,18246.59572593401
40.800000000000004,18045.57822964904
40.900000000000006,17844.463946458513
41.0,17643.256974058568
41.1,17441.96083443597
41.2,17240.578947981714
41.300000000000004,17039.115920370805
41.400000000000006,16837.575104263717
41.5,16635.96052962608
41.6,16434.275786175178
41.7,16232.525310259722
41.800000000000004,16030.712556135964
41.900000000000006,15828.841621500047
42.0,15626.916570182855
42.1,15424.941262823728
42.2,15222.91989871458
42.300000000000004,15020.855999842175
42.400000000000006,14818.754239612033
42.5,14616.617936819375
42.6,14414.451832600233
42.7,14212.2593473456
42.800000000000004,14010.045154460995
42.900000000000006,13807.81291139421
43.0,13605.567020628707
43.1,13403.311478264854
43.2,13201.05028040302
43.300000000000004,12998.788032718208
43.400000000000006,12796.528494253986
43.5,12594.27606749381
43.6,12392.03491786434
43.7,12189.809346253256
43.800000000000004,11987.603551952478
43.900000000000006,11785.421768119173
44.0,11583.268464967316
44.1,11381.147672462534
44.2,11179.063860818796
44.300000000000004,10977.02136478905
44.400000000000006,10775.024451395722
44.5,10573.077827909585
44.6,10371.185456565754
44.7,10169.351976904487
44.800000000000004,9967.58168981347
44.900000000000006,9765.879099371934
45.0,9564.248608063335
45.1,9362.694923158448
45.2,9161.222006892385
45.300000000000004,8959.83483745798
45.400000000000006,8758.537851203948
45.5,8557.335484479005
45.6,8356.232529217066
45.7,8155.233337103707
45.800000000000004,7954.342564611813
45.900000000000006,7753.564783551129
46.0,7552.904650394545
46.1,7352.366872412833
46.2,7151.956089146254
46.300000000000004,6951.677058663468
