Depth (Ft),Moment (Ft-lb)
39.800000000000004,451041.0353246579
39.900000000000006,453046.1131937558
40.0,455031.1932355405
40.1,456996.2624051148
40.2,458941.3080673512
40.300000000000004,460866.3179325478
40.400000000000006,462771.28010722634
40.5,464656.1830162417
40.6,466521.0154976051
40.7,468365.7667482995
40.800000000000004,470190.4263208929
40.900000000000006,471994.9841438578
41.0,473779.4305385036
41.1,475543.7562359095
41.2,477287.95231935306
41.300000000000004,479012.01021415123
41.400000000000006,480715.92180618836
41.5,482399.6793166147
41.6,484063.2753695773
41.7,485706.7029481948
41.800000000000004,487329.9554792208
41.900000000000006,488933.0267348344
42.0,490515.9108969844
42.1,492078.60255400266
42.2,493621.09668028506
42.300000000000004,495143.38867015654
42.400000000000006,496645.47427014075
42.5,498127.34969410195
42.6,499589.01148778386
42.7,501030.4566710439
42.800000000000004,502451.68260577845
42.900000000000006,503852.68712122453
43.0,505233.46841236396
43.1,506594.02511442685
43.2,507934.35626225336
43.300000000000004,509254.46129029366
43.400000000000006,510554.34009356546
43.5,511833.99294299085
43.6,513093.42054974026
43.7,514332.6240415267
43.800000000000004,515551.604976152
43.900000000000006,516750.3653313473
44.0,517928.9075081592
44.1,519087.2343546559
44.2,520225.34912190214
44.300000000000004,521343.255507984
44.400000000000006,522440.95764446293
44.5,523518.4600896025
44.6,524575.7678723935
44.7,525612.88641805
44.800000000000004,526629.8216157405
44.900000000000006,527626.5797847218
45.0,528603.1676946591
45.1,529559.5925554654
45.2,530495.8620477812
45.300000000000004,531411.9842484704
45.400000000000006,532307.9677322162
45.5,533183.8215173366
45.6,534039.5550657845
45.7,534875.1783187062
45.800000000000004,535690.7016524166
45.900000000000006,536486.1359088778
46.0,537261.492387233
46.1,538016.7828522724
46.2,538752.0195395136
46.300000000000004,539467.2151484282
46.400000000000006,540162.3828542946
46.5,540837.5362912653
46.6,541492.6895777661
46.7,542127.8572809375
46.800000000000004,542743.0544708191
46.900000000000006,543338.296679711
47.0,543913.5999343464
47.1,544468.9807304922
47.2,545004.456053268
47.300000000000004,545520.0433703739
47.400000000000006,546015.7606287027
47.5,546491.6262814334
47.6,546947.659267711
47.7,547383.8790058743
47.800000000000004,547800.3054290134
47.900000000000006,548196.9589443328
48.0,548573.8604737883
48.1,548931.0314185293
48.2,549268.4937012303
48.300000000000004,549586.2697593173
48.400000000000006,549884.3825094101
48.5,550162.8553879602
48.6,550421.7123529437
48.7,550660.9778669295
48.800000000000004,550880.6768936919
48.900000000000006,551080.8349151438
49.0,551261.4779516556
49.1,551422.6325281905
49.2,551564.3256963157
49.300000000000004,551686.585029124
49.400000000000006,551789.438641552
49.5,551872.9151615949
49.6,551937.0437387731
49.7,551981.8540779972
49.800000000000004,552007.3763887697
49.900000000000006,552013.6414647695
50.0,552000.6805991874
50.1,551968.525647378
50.2,551917.2089980731
50.300000000000004,551846.7635852358
50.400000000000006,551757.222891446
50.5,551648.6209699131
50.6,551520.9924004514
50.7,551374.3723318118
50.800000000000004,551208.7964579753
50.900000000000006,551024.3010435529
51.0,550820.9229034658
51.1,550598.6994401976
51.2,550357.6686099286
51.300000000000004,550097.868927616
51.400000000000006,549819.339505939
51.5,549522.1200061936
51.6,549206.2506890912
51.7,548871.7723791993
51.800000000000004,548518.7264920346
51.900000000000006,548147.1550205161
52.0,547757.1005485118
52.1,547348.6062576114
52.2,546921.7159034205
52.300000000000004,546476.4738646657
52.400000000000006,546012.9250923966
52.5,545531.1151523165
52.6,545031.090218011
52.7,544512.897055707
52.800000000000004,543976.5830564459
52.900000000000006,543422.1962149169
53.0,542849.7851455436
53.1,542259.3990757108
53.2,541651.0878610037
53.300000000000004,541024.9019818216
53.400000000000006,540380.8925450711
53.5,539719.1112867057
53.6,539039.6105895056
53.7,538342.4434593717
53.800000000000004,537627.6635515711
53.900000000000006,536895.3251605775
54.0,536145.4832395444
54.1,535378.1933791381
54.2,534593.5118473305
54.300000000000004,533791.4955496066
54.400000000000006,532972.2020636774
54.5,532135.6896335519
54.6,531282.0171712323
54.7,530411.244259252
54.800000000000004,529523.431171843
54.900000000000006,528618.6388486892
55.0,527696.9289330252
55.1,526758.3637445444
55.2,525803.0063031042
55.300000000000004,524830.9203278797
55.400000000000006,523842.17023990315
55.5,522836.8211671444
55.6,521814.9389538233
55.7,520776.59015702346
55.800000000000004,519721.84206193144
55.900000000000006,518650.7626733706
56.0,517563.42073104036
56.1,516459.88571036275
56.2,515340.2278368755
56.300000000000004,514204.5180684522
56.400000000000006,513052.82813001476
56.5,511885.2304923674
56.6,510701.79839844204
56.7,509502.6058590654
56.800000000000004,508287.7276571921
56.900000000000006,507057.23935891077
57.0,505811.21731513744
57.1,504549.73867431487
57.2,503272.88137987285
57.300000000000004,501980.72418800724
57.400000000000006,500673.34666006046
57.5,499350.82919046027
57.6,498013.252983014
57.7,496660.70008562057
57.800000000000004,495293.2533885772
57.900000000000006,493910.9966275426
58.0,492514.0143991996
58.1,491102.39216083183
58.2,489676.21624048357
58.300000000000004,488235.57385304535
58.400000000000006,486780.5530985608
58.5,485311.24297873623
58.6,483827.73339736357
58.7,482330.11517809995
58.800000000000004,480818.4800720871
58.900000000000006,479292.92076049146
59.0,477753.5308727066
59.1,476200.4049948198
59.2,474633.6386806178
59.300000000000004,473053.32845497376
59.400000000000006,471459.5718350129
59.5,469852.46733942535
59.6,468232.1144922761
59.7,466598.61384417076
