Depth (Ft),Shear (lbs.)
8.5,586.0030588978835
8.6,591.4079539739299
8.700000000000001,596.8372320352817
8.8,602.2624462657492
8.9,607.7093342609327
9.0,613.1399669325792
9.1,618.5990464204154
9.200000000000001,624.0445798053042
9.3,629.5158507857932
9.4,634.9817033251032
9.5,640.4638111879501
9.600000000000001,645.9405006096181
9.700000000000001,651.4293815239388
9.8,656.931808541207
9.9,662.4315263378858
10.0,667.9366625757434
10.100000000000001,673.4499264753696
10.200000000000001,678.9713180367643
10.3,684.4900003775695
10.4,690.0317110933853
10.5,695.5598757062537
10.600000000000001,701.1056502529539
10.700000000000001,706.6500701893593
10.8,712.1971993463542
10.9,717.7592292165913
11.0,723.3226136971232
11.100000000000001,728.8832889570656
11.200000000000001,734.4575103199554
11.3,740.0290224622557
11.4,745.6059530457352
11.5,751.1950751218673
11.600000000000001,756.7801333671151
11.700000000000001,762.3733192741314
11.8,767.9719236223268
11.9,773.5651095293431
12.0,779.1731961496017
12.100000000000001,784.7731551080917
12.200000000000001,790.3866601695294
12.3,795.9961014000827
12.4,801.616379512994
12.5,807.2393668464947
12.600000000000001,812.8623541799956
12.700000000000001,818.4799230723173
12.8,824.1110380675867
12.9,829.7435076731507
13.0,835.3786864993043
13.100000000000001,841.0152199357525
13.200000000000001,846.6544625927903
13.3,852.2896414189439
13.4,857.9275294656869
13.5,863.5776090050826
13.600000000000001,869.2168516621205
13.700000000000001,874.8669312015162
13.8,880.5102376894383
13.9,886.1589626185392
14.0,891.8185244299983
14.100000000000001,897.4618309179203
14.200000000000001,903.1268111705583
14.3,908.7755360996593
14.4,914.4364525214131
14.5,920.0838228402195
14.600000000000001,925.7474484825626
14.700000000000001,931.4029464631375
14.8,937.0570898334174
14.9,942.708523983108
15.0,948.3735042357459
15.100000000000001,954.0262929957313
15.200000000000001,959.6858548071903
15.3,965.341352787765
15.4,970.9941415477504
15.5,976.6537033592093
15.600000000000001,982.2956552368366
15.700000000000001,987.9633447100641
15.8,993.6052965876914
15.9,999.2662130094452
16.0,1004.9081648870724
16.1,1010.5623082573525
16.2,1016.2123877967482
16.3,1021.8502758434913
16.400000000000002,1027.4990007725924
16.5,1033.1409526502196
16.6,1038.7788406969626
16.7,1044.4221471848846
16.8,1050.0559714007434
16.900000000000002,1055.6830225651286
17.0,1061.323619832461
17.1,1066.9438979453723
17.2,1072.568239889168
17.3,1078.1952910535529
17.400000000000002,1083.8155691664642
17.5,1089.4263650073124
17.6,1095.0493523408131
17.7,1100.6438928581242
17.8,1106.2546886989724
17.900000000000002,1111.8587114883467
18.0,1117.4586704468368
18.1,1123.0505017435582
18.2,1128.6396238196903
18.3,1134.2341643370014
18.400000000000002,1139.804321869007
18.5,1145.38802550396
18.6,1150.9554738153763
18.7,1156.533081704003
18.8,1162.0863066073243
18.900000000000002,1167.647659172414
19.0,1173.1961429397036
19.1,1178.7466586224355
19.200000000000003,1184.2910785588408
19.3,1189.8253389180356
19.400000000000002,1195.3575673617884
19.5,1200.8789589231828
19.6,1206.401027789725
19.700000000000003,1211.910227858467
19.8,1217.4153640963245
19.900000000000002,1222.9150818930034
20.0,1228.4168316051241
20.1,1233.9009713834132
20.200000000000003,1239.3817246359654
20.3,1244.8550275318964
20.400000000000002,1250.3208800712066
20.5,1255.7813141693375
20.6,1261.228202164521
20.700000000000003,1266.6750901597045
20.8,1272.1131731879723
20.900000000000002,1277.544483164766
21.0,1282.9602151231704
21.1,1288.3793336073115
21.200000000000003,1293.784228683358
21.3,1299.178286877046
21.400000000000002,1304.566249324408
21.5,1309.9501479408857
21.6,1315.3171139286792
21.700000000000003,1320.6773068649989
21.8,1326.0381771064658
21.900000000000002,1331.3753416677746
22.0,1336.711828923936
22.1,1342.0408658234765
22.200000000000003,1347.35364739948
22.3,1352.658301313715
22.400000000000002,1357.9609233125077
22.5,1363.2432261568792
22.6,1368.5234970858087
22.700000000000003,1373.7848034706117
22.8,1379.0461098554147
22.900000000000002,1384.2904836115333
23.0,1389.5253750955885
23.1,1394.7480750869913
23.200000000000003,1399.96400202692
23.3,1405.1629963381647
23.400000000000002,1410.354540292788
23.5,1415.535924670201
23.6,1420.705117554961
23.700000000000003,1425.8607643367736
23.8,1431.008960761965
23.900000000000002,1436.1402245584723
24.0,1441.2606514726212
24.1,1446.367532283823
24.200000000000003,1451.4628989075193
24.3,1456.548105954005
24.400000000000002,1461.617734982101
24.5,1466.6785590432812
24.6,1471.7231277809244
24.700000000000003,1476.7588915516517
24.8,1481.7716269473683
24.900000000000002,1486.778943901906
25.0,1491.7720374483488
25.1,1496.7529395021388
25.200000000000003,1501.7169089272445
25.3,1506.6673322494028
25.400000000000002,1511.6062413840555
25.5,1516.528217890024
25.6,1521.433261767308
25.700000000000003,1526.3362737291502
25.8,1531.208129654213
25.900000000000002,1536.0779536638336
26.0,1540.9247492984437
26.1,1545.7607080506955
26.200000000000003,1550.5790568691157
